Report generated on: 09-05-2022 12:09:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"INTL.66-13-BLR-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BEL-TBPD.A","        Refined petroleum products (Mb/d)","49","53","48","48","46","44","54","62","69","73","77","79","78","80","77","74","84","95","101","82","100","98","127","128","154","142","154","172","169","128","117","134","108","113","101.2255342465753",""
"INTL.65-13-BEL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","12","10","14","11","13","14","14","15","15","14","13","15","14","15","15","12","16","16","16","14","10","11","13","12","7.7","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BEL-TBPD.A","            Residual fuel oil (Mb/d)","33","40","37","37","34","33","40","51","56","59","63","64","62","66","64","58","70","80","86","70","84","82","112","114","143","131","141","159","161","122","109","125","99","102","88.9216438356164",""
"","Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BLZ-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.3","0.3","0.01808","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.7","0.6","0.8","1.5","0.4","0.4","0.4","0.4","0.4","0.3","0.304164383561644",""
"INTL.65-13-BLZ-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0.3","0.3","0.01808","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.7","0.6","0.8","0.9","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BLZ-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BEN-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.02438","0.4","0.3","0.4","0.3","0.4","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0","0","0","0.5","0.5","0.5","0.5","0.6","1.9","3.2","1.9","1.9","3.7","3.95413698630137",""
"INTL.65-13-BEN-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0.02438","0.4","0.3","0.4","0.3","0.4","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0","0","0","0.5","0.5","0.5","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BEN-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BMU-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.5","0.8","0.8","0.8","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.7","1.4","1.4","1.4","1.4","1.4","0.6","0.607397260273972",""
"INTL.65-13-BMU-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0.5","0.8","0.8","0.8","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BMU-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0.01824","0.01824","0.01819","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0545901639344262","0.0547397260273973","0.0547397260273973","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.346684931506849",""
"","Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BTN-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.014556438358","0.0143391780821918","0.0143391780821918","0.0143391780821918","0.0143","0.0651780821917808","0.0651780821917808",""
"INTL.65-13-BTN-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BTN-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BOL-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0.9","1.1","1.28183561643836",""
"INTL.65-13-BOL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA",""
