,regions,product,year,value
242,"Germany, West",            Residual fuel oil (Mb/d),1980,44
243,Ghana,        Refined petroleum products (Mb/d),1980,
244,Ghana,            Distillate fuel oil (Mb/d),1980,
245,Ghana,            Residual fuel oil (Mb/d),1980,
246,Gibraltar,        Refined petroleum products (Mb/d),1980,
247,Gibraltar,            Distillate fuel oil (Mb/d),1980,
248,Gibraltar,            Residual fuel oil (Mb/d),1980,
249,Greece,        Refined petroleum products (Mb/d),1980,30
250,Greece,            Distillate fuel oil (Mb/d),1980,
251,Greece,            Residual fuel oil (Mb/d),1980,12
252,Greenland,        Refined petroleum products (Mb/d),1980,
253,Greenland,            Distillate fuel oil (Mb/d),1980,
254,Greenland,            Residual fuel oil (Mb/d),1980,
255,Grenada,        Refined petroleum products (Mb/d),1980,
256,Grenada,            Distillate fuel oil (Mb/d),1980,
257,Grenada,            Residual fuel oil (Mb/d),1980,
258,Guadeloupe,        Refined petroleum products (Mb/d),1980,
259,Guadeloupe,            Distillate fuel oil (Mb/d),1980,
260,Guadeloupe,            Residual fuel oil (Mb/d),1980,
261,Guam,        Refined petroleum products (Mb/d),1980,
262,Guam,            Distillate fuel oil (Mb/d),1980,
263,Guam,            Residual fuel oil (Mb/d),1980,
264,Guatemala,        Refined petroleum products (Mb/d),1980,
265,Guatemala,            Distillate fuel oil (Mb/d),1980,
266,Guatemala,            Residual fuel oil (Mb/d),1980,
267,Guinea,        Refined petroleum products (Mb/d),1980,
268,Guinea,            Distillate fuel oil (Mb/d),1980,
269,Guinea,            Residual fuel oil (Mb/d),1980,
270,Guinea-Bissau,        Refined petroleum products (Mb/d),1980,
271,Guinea-Bissau,            Distillate fuel oil (Mb/d),1980,
272,Guinea-Bissau,            Residual fuel oil (Mb/d),1980,
273,Guyana,        Refined petroleum products (Mb/d),1980,
274,Guyana,            Distillate fuel oil (Mb/d),1980,
275,Guyana,            Residual fuel oil (Mb/d),1980,
276,Haiti,        Refined petroleum products (Mb/d),1980,
277,Haiti,            Distillate fuel oil (Mb/d),1980,
278,Haiti,            Residual fuel oil (Mb/d),1980,
279,Hawaiian Trade Zone,        Refined petroleum products (Mb/d),1980,
280,Hawaiian Trade Zone,            Distillate fuel oil (Mb/d),1980,
281,Hawaiian Trade Zone,            Residual fuel oil (Mb/d),1980,
282,Honduras,        Refined petroleum products (Mb/d),1980,
283,Honduras,            Distillate fuel oil (Mb/d),1980,
284,Honduras,            Residual fuel oil (Mb/d),1980,
285,Hong Kong,        Refined petroleum products (Mb/d),1980,
286,Hong Kong,            Distillate fuel oil (Mb/d),1980,
287,Hong Kong,            Residual fuel oil (Mb/d),1980,
288,Hungary,        Refined petroleum products (Mb/d),1980,0
289,Hungary,            Distillate fuel oil (Mb/d),1980,
290,Hungary,            Residual fuel oil (Mb/d),1980,0
291,Iceland,        Refined petroleum products (Mb/d),1980,0
292,Iceland,            Distillate fuel oil (Mb/d),1980,
293,Iceland,            Residual fuel oil (Mb/d),1980,0
294,India,        Refined petroleum products (Mb/d),1980,
