API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,        Refined petroleum products (Mb/d),,,,,--,--,--,--,--,--,--,--,0,0,0,0,11,13,11,11,11,11,12,13,14,11,11,8.3,9.3,6.6,10,11,9.8,9.9,9.0513698630137,
Azerbaijan,            Distillate fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,11,13,11,11,11,11,12,13,14,11,11,0,0,,,,,,,
Azerbaijan,            Residual fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,        Refined petroleum products (Mb/d),,,,,,,11,11,12,13,13,13,4.2,4.5,4.5,4.4,2.4,2.1,2.1,2.1,2.1,2.1,2.1,11,13,9.1,12,13,13,14,15,14,14,10,9.90419178082192,
Bahrain,            Distillate fuel oil (Mb/d),,,,,,,11,11,10,11,11,11,2.2,2.6,2.6,2.6,1.6,0.8,0.8,0.8,0.8,0.8,0.8,9.8,12,7.9,12,0,0,,,,,,,
Bahrain,            Residual fuel oil (Mb/d),,,,,,,0,0,1.8,1.8,2,2,2,1.8,1.8,1.8,0.8,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.1,0,0,0,1.2,1.4,1.4,1.5,1.5,1.49621917808219,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,        Refined petroleum products (Mb/d),,,,,,,0.1,0.3,0.3,0.3,0.2,0.1,0,0.2,0.2,0.2,0.3,0.3,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,3.3,5.8,5.1,4.6,7.7,8.9,8.5,8.7,8.84216438356165,
Bangladesh,            Distillate fuel oil (Mb/d),,,,,,,0,0.2,0.2,0.2,0.2,0.1,0,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0,0,0,0,0,0,2.7,0,0,,,,,,,
Bangladesh,            Residual fuel oil (Mb/d),,,,,,,0.1,0.09123,0.09098,0.09123,0,0,0,0,0,0,0,0.1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.5,1.6,1.7,1.8,1.82465753424658,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,        Refined petroleum products (Mb/d),,,,,,,3.5,2.9,2.5,2.4,2.6,2.6,0,1.8,2.4,2.6,2.8,2.8,2.8,2.8,4.3,3.3,3.3,3.3,3.3,1.9,1.7,0,0,1.7,1.7,1.7,1.7,4.5,4.45687671232877,
Barbados,            Distillate fuel oil (Mb/d),,,,,,,2.7,2.3,2.4,2.4,2.5,2.5,0,1.8,2.4,2.6,2.8,2.8,2.8,2.8,4.3,3.3,3.3,3.3,3.3,1.9,1.7,0,0,,,,,,,
Barbados,            Residual fuel oil (Mb/d),,,,,,,0.7,0.6,0.09098,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,        Refined petroleum products (Mb/d),,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.38986301369863,
Belarus,            Distillate fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Belarus,            Residual fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,        Refined petroleum products (Mb/d),49,53,48,48,46,44,54,62,69,73,77,79,78,80,77,74,84,95,101,82,100,98,127,128,154,142,154,172,169,128,117,134,108,113,101.225534246575,
Belgium,            Distillate fuel oil (Mb/d),,,,,12,10,14,11,13,14,14,15,15,14,13,15,14,15,15,12,16,16,16,14,10,11,13,12,7.7,,,,,,,
Belgium,            Residual fuel oil (Mb/d),33,40,37,37,34,33,40,51,56,59,63,64,62,66,64,58,70,80,86,70,84,82,112,114,143,131,141,159,161,122,109,125,99,102,88.9216438356164,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,        Refined petroleum products (Mb/d),,,,,,,0.3,0.3,0.01808,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.7,0.6,0.8,1.5,0.4,0.4,0.4,0.4,0.4,0.3,0.304164383561644,
Belize,            Distillate fuel oil (Mb/d),,,,,,,0.3,0.3,0.01808,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.7,0.6,0.8,0.9,0,,,,,,,
Belize,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,        Refined petroleum products (Mb/d),,,,,,,0.02438,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.6,1.9,3.2,1.9,1.9,3.7,3.95413698630137,
Benin,            Distillate fuel oil (Mb/d),,,,,,,0.02438,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,,,,,,,
Benin,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,        Refined petroleum products (Mb/d),,,,,,,0.5,0.8,0.8,0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,1.4,1.4,1.4,1.4,1.4,0.6,0.607397260273972,
Bermuda,            Distillate fuel oil (Mb/d),,,,,,,0.5,0.8,0.8,0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0,0,,,,,,,
Bermuda,            Residual fuel oil (Mb/d),,,,,,,0.01824,0.01824,0.01819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545901639344262,0.0547397260273973,0.0547397260273973,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.346684931506849,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014556438358,0.0143391780821918,0.0143391780821918,0.0143391780821918,0.0143,0.0651780821917808,0.0651780821917808,
Bhutan,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bhutan,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,        Refined petroleum products (Mb/d),,,,,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9,1.1,1.28183561643836,
Bolivia,            Distillate fuel oil (Mb/d),,,,,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bolivia,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,        Refined petroleum products (Mb/d),,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0651780821917808,0.0869041095890411,
Bosnia and Herzegovina,            Distillate fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bosnia and Herzegovina,            Residual fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.217260273972603,
Botswana,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,,,,,,,
Botswana,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,        Refined petroleum products (Mb/d),,,,,,,18,18,20,21,20,25,16,30,35,36,42,32,52,52,56,55,69,78,84,89,90,102,119,105,117,126,119,114,118.393424657534,
Brazil,            Distillate fuel oil (Mb/d),,,,,,,4.9,5.3,11,12,13,12,1.9,13,15,17,22,8.6,29,29,13,15,14,29,35,36,39,13,16,14,,,,,,
Brazil,            Residual fuel oil (Mb/d),,,,,,,14,12,8.2,9.2,7.5,13,14,17,20,19,20,24,24,24,43,40,56,49,49,53,51,56,70,57,61,72,64,54,57.0205479452055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
British Virgin Islands,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
British Virgin Islands,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.9,1.8,4,4.1,2.9,3.3,2.85630136986301,
Brunei,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brunei,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.8,1.2,1.5,1.31375342465753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,6.9,5.1,5.1,5,5.2,4.5,6.4,5.4,5.4,1.3,2,4.4,5.4,5.6,2.2,6,4.9,6.9,7.3,5.4,5,4.7,5.2,5.20375342465753,
Bulgaria,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,3,1.4,2.5,1.1,1.3,1.1,1.7,1.4,1.4,1.3,1.9,4.3,5.4,5.6,2.2,6,1.1,2.2,,,,,,,
Bulgaria,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,3.9,3.8,2.6,3.9,3.9,3.3,4.7,4,4,0,0.0182465753424658,0.0182465753424658,0,0,0,0,0,0.3,1,0.8,0.5,0.3,0.6,0.47441095890411,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,1.2,1.19493150684931,
Burkina Faso,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,,,,,,,
Burkina Faso,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burma,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.4,0.3,0.3,0.409098360655738,0.430657534246575,0.345041095890411,0.408931506849315,0.386147540983606,0.256849315068493,0.365479452054795,0.387205479452055,0.386147540983606,0.408931506849315,0.452383561643836,0.391068493150685,0.777431693989071,0.844739726027397,0.909917808219178,0.975095890410959
Burma,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0.08432,0.2,0.4,0.4,0.3,0.3,0.0407650273224044,0.4,0.4,0.3,0.3,0.0613150684931507,1.7,0.06131506848,0.06131506848,,,,,,,
Burma,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0.05473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,        Refined petroleum products (Mb/d),,,,,,,0.04345,0.04345,0,0.04345,0.04345,0.04345,0,0.04345,0.04345,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0869041095890411,0.0869041095890411,
